Title,Link,Description,Publish Date,Location,Restaurant Visited
I Reviewed AUSTRIA'S FIRST EVER 3 MICHELIN STAR Restaurant,https://www.youtube.com/watch?v=ZJMQ7dNT9YQ,"The video features a detailed review of Austria’s first ever 3-star Michelin restaurant, Amador, located in Vienna. The host, Alexander, who is also the co-owner of a one Michelin star restaurant, shares his experience at Amador, emphasizing the culinary expertise of Chef Juan Amador. He provides insights into the gastronomic excellence that earned Amador its prestigious rating, along with a link to a recipe and additional content about his personal journey in the culinary world.",5/30/25,Vienna,Amador
The RESTAURANT That Made HISTORY for Me (105-Year-Old Wine & The Best Pasta Dish Ever),https://www.youtube.com/watch?v=dxQ_o1Z5yB8,"Join Alexander as he explores the renowned Amelia restaurant in San Sebastian, one of the true culinary capitals of the world. Guided by chef Paulo Airaudo, the video reveals why this 2 Michelin starred location has become Alexander's favorite in the Basque Country. Stay tuned to discover the gastronomical wonders and the personal journey of a Michelin star restaurant co-owner.",5/1/25,San Sebastian,Amelia
Dining at Thailand’s ONLY 3 MICHELIN STAR Restaurant,https://www.youtube.com/watch?v=pnWtFQGUkFY,"I’m gonna take you to the first and only 3 Michelin star restaurant in Thailand.
Weird food, fire breathing, coke zero, amazing people and a big amount of creativity.
All mixed up in a spiced up Thai dinner, as you’ve never seen before!
Today, I'm taking you to SORN. Welcome to Bangkok!

---------------------------------------------------------------------------------

Follow my journey on instagram: https://www.instagram.com/alexandertheguest

My name is Alexander. I’m the co-owner of a ONE Michelin star restaurant, and I’m on a mission - to find inspiration in gastronomy. I love fine dining, good wine and sharing what I know with other people.

---------------------------------------------------------------------------------

Check out my restaurant: 
https://www.instagram.com/42restaurant/",###############################################################################################################################################################################################################################################################,"Thailand, Bangkok",SORN
I Tried the $560 MENU at One of Asia’s MOST LUXURIOUS Restaurants,https://www.youtube.com/watch?v=p2HMymAIx64,"Today, I'm taking you to one of Asia's most luxurious 3-Michelin star restaurants. This is Joël Robuchon au Dôme in Macau. The menu costs 560 dollars. Joel Robuchon was one of the most influential chefs in the world, and nothing proves that better than the fact that he was named Chef of the Century. Today, we're here to taste his legacy.",###############################################################################################################################################################################################################################################################,Macau,Jo�l Robuchon au D�me
I Stayed at the #1 HOTEL IN THE WORLD,https://www.youtube.com/watch?v=6Jm68betmCI,"In this video, the host explores the world’s best hotel, Capella Bangkok, which is named the best hotel in the world by the World’s 50 Best Hotels list in 2024. The host, Alexander, who co-owns a Michelin star restaurant, is on a mission to find inspiration in gastronomy. Follow his experiences in fine dining and wine sharing.",3/24/25,"Bangkok, Thailand",Capella Bangkok
INSIDE MUNICH'S ONLY 3 Michelin Star Restaurant (€340 Menu),https://www.youtube.com/watch?v=aRHpvU3dNn4,"The video showcases Munich's only 3 Michelin star restaurant, JAN by Jan Hartwig, which impressively earned its stars just six months after opening. The host, Alexander, who is a co-owner of a one Michelin star restaurant himself, brings viewers along to experience the elite culinary art. He shares his journey in hopes of finding gastronomic inspiration and showcases his passion for fine dining, good wine, and culinary knowledge sharing.",###############################################################################################################################################################################################################################################################,Munich,JAN by Jan Hartwig
I Tried the Restaurant of Italy’s MOST MICHELIN-STARRED Chef,https://www.youtube.com/watch?v=IfPptGgk7mE,"In this video, Alexander, a co-owner of a Michelin-starred restaurant, visits Enrico Bartolini al Mudec, the only 3 Michelin Star restaurant in Milan, founded by Italy's most Michelin-starred chef. He shares his experiences and thoughts throughout this culinary journey to draw inspiration and connect with fellow fine dining enthusiasts.",9/19/23,"Milan, Italy",Enrico Bartolini al Mudec
Dining at NORWAY's NEWEST 3 Michelin Star (Reindeer on the Plate!),https://www.youtube.com/watch?v=CcAIAgtmMf8,"Join the host as they explore Re-Naa, Norway's newest 3 Michelin-starred restaurant, showcasing the pinnacle of Nordic cuisine with a menu that vividly brings the local environment to the dining experience. Discover why this restaurant has quickly become the host’s favorite in Norway.",###############################################################################################################################################################################################################################################################,Norway,Re-Naa
I Reviewed DUBAI'S BEST Restaurant (3 Michelin Star),https://www.youtube.com/watch?v=ulfJMRTWApo,"Björn Frantzén has opened his newest restaurant, FZN, in Dubai. Many say it could become not only Dubai's first 3-Michelin-starred restaurant but also the best restaurant in the city. We were there on its very first day of opening to try it out. But I wasn’t alone—I was joined by a special guest, the winner of my 300,000-subscriber giveaway. So, this is the story of when I dined at Dubai's best restaurant with a stranger.",12/23/24,"Dubai, UAE",FZN
I Found MY FAVORITE Restaurant in Germany,https://www.youtube.com/watch?v=C8s-XmnJIps,"Join Alexander, a co-owner of a Michelin-starred restaurant, as he travels to western Germany to discover an inspiring 3 Michelin-starred restaurant. This video walks through the culinary highlights at Waldhotel Sonnora, led by Head Chef Clemens Rambichler, and explores several gastronomic curiosities, including a wine comparison where prices vastly differ. Dive into the essence of timeless gastronomy, complex wine flavors, and the possibility of love at first sight in fine dining.",12/8/23,Western Germany,Waldhotel Sonnora
